epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,818.039,2.17999,4.32239,2.89002,2.10919,0.16621,0.14706,0.06933,0.01961,0.12066,0.10675,0.0371,0.00774,2.44602,4.91866,3.17688,2.74006,0.000662309,0.000662309,0.000662309
2,1605.94,2.20258,4.02717,2.77761,2.13468,0.11244,0.13562,0.03948,0.01097,0.08892,0.10512,0.02416,0.00576,2.62511,4.28755,4.34785,2.72742,0.00130266,0.00130266,0.00130266
3,2364.89,2.23875,4.05481,2.79113,2.16836,0.18136,0.1476,0.08666,0.02699,0.14985,0.12255,0.0593,0.01769,2.48309,4.44356,3.56698,2.60685,0.00191662,0.00191662,0.00191662
4,3165.4,2.18637,3.98901,2.74123,2.15308,0.09533,0.19227,0.05156,0.015,0.07696,0.13889,0.03368,0.00796,2.36683,4.09897,3.52484,2.60605,0.0018812,0.0018812,0.0018812
5,3923.51,2.1446,3.95103,2.70342,2.12042,0.14484,0.12364,0.06897,0.02128,0.15581,0.12146,0.06356,0.01692,2.55352,3.95008,3.15062,2.56891,0.0018416,0.0018416,0.0018416
6,4676.89,2.12359,3.92179,2.65058,2.08267,0.19803,0.19063,0.10723,0.03214,0.1748,0.16118,0.08022,0.01885,2.33233,3.88916,2.80103,2.4006,0.001802,0.001802,0.001802
7,5439.61,2.08575,3.85631,2.58129,2.04171,0.19857,0.1939,0.11516,0.03541,0.17833,0.16013,0.08774,0.02271,2.40772,4.02201,2.93603,2.42328,0.0017624,0.0017624,0.0017624
8,6189.9,2.07989,3.78211,2.52729,2.02912,0.29067,0.20643,0.15921,0.05272,0.24327,0.16993,0.11058,0.02883,2.28369,3.84565,2.68036,2.40725,0.0017228,0.0017228,0.0017228
9,6939.95,2.01589,3.74206,2.49006,2.00725,0.26695,0.24564,0.16778,0.05752,0.24988,0.20261,0.13351,0.03906,2.21776,3.63042,2.6198,2.31136,0.0016832,0.0016832,0.0016832
10,7688.3,1.98362,3.69845,2.43937,1.97493,0.32545,0.24564,0.22171,0.08021,0.30155,0.21569,0.1855,0.05649,2.2192,3.55732,2.46749,2.25196,0.0016436,0.0016436,0.0016436
11,8427.6,1.97598,3.68563,2.40538,1.9606,0.309,0.23584,0.19066,0.06321,0.27677,0.19717,0.14392,0.03549,2.21616,3.84358,2.6646,2.38411,0.001604,0.001604,0.001604
12,9171.06,1.95553,3.63723,2.36165,1.94464,0.31698,0.29085,0.2325,0.08177,0.31059,0.25327,0.19906,0.05755,2.16001,3.45006,2.40811,2.21392,0.0015644,0.0015644,0.0015644
13,9927.17,1.94671,3.62341,2.36089,1.93834,0.24901,0.25609,0.15889,0.0548,0.25576,0.22767,0.13922,0.03788,2.19685,3.54658,2.63844,2.26407,0.0015248,0.0015248,0.0015248
14,10729.3,1.92486,3.56924,2.31079,1.9153,0.38865,0.28322,0.26863,0.09673,0.398,0.25109,0.23411,0.06738,2.13451,3.47585,2.4108,2.21275,0.0014852,0.0014852,0.0014852
15,11545.6,1.89492,3.51499,2.25492,1.88943,0.36794,0.30184,0.25889,0.09671,0.36873,0.23965,0.20323,0.05892,2.0961,3.60738,2.34266,2.19961,0.0014456,0.0014456,0.0014456
16,12304.1,1.87348,3.48284,2.24696,1.87876,0.37861,0.29303,0.27147,0.10694,0.37867,0.24673,0.24071,0.07292,2.10181,3.4091,2.38087,2.24848,0.001406,0.001406,0.001406
17,13103.7,1.87347,3.45268,2.21039,1.8653,0.41218,0.3061,0.2887,0.11355,0.4013,0.26961,0.24631,0.07508,2.05929,3.45207,2.32833,2.16887,0.0013664,0.0013664,0.0013664
18,13866.6,1.88858,3.46078,2.19481,1.87782,0.44314,0.33678,0.32978,0.13054,0.42689,0.29739,0.28394,0.0862,2.02415,3.40916,2.17389,2.11185,0.0013268,0.0013268,0.0013268
19,14677.7,1.85895,3.44344,2.15086,1.84803,0.40866,0.33606,0.30548,0.12106,0.38163,0.31264,0.27114,0.08979,2.07211,3.32425,2.21066,2.1549,0.0012872,0.0012872,0.0012872
20,15543.6,1.85292,3.41855,2.14207,1.83827,0.41368,0.33878,0.32517,0.13541,0.3886,0.30773,0.27191,0.08875,2.03207,3.3207,2.17237,2.1315,0.0012476,0.0012476,0.0012476
21,16525.5,1.82538,3.38119,2.09877,1.82281,0.43824,0.3415,0.31342,0.12831,0.41207,0.30447,0.26771,0.08606,2.03378,3.32916,2.20784,2.14162,0.001208,0.001208,0.001208
22,17312.9,1.8046,3.36227,2.06881,1.81617,0.4747,0.3317,0.32722,0.13092,0.44173,0.28268,0.27999,0.0881,2.08604,3.32803,2.17311,2.18146,0.0011684,0.0011684,0.0011684
23,18215.5,1.78747,3.33799,2.04889,1.80233,0.44095,0.33165,0.34034,0.13851,0.41881,0.29672,0.28476,0.0898,2.05274,3.36868,2.1789,2.16417,0.0011288,0.0011288,0.0011288
24,19003.2,1.78162,3.27398,2.00188,1.78872,0.46357,0.34532,0.34558,0.14036,0.45785,0.30882,0.29182,0.09372,2.06908,3.40457,2.13382,2.12528,0.0010892,0.0010892,0.0010892
25,19789.8,1.76179,3.26567,1.97398,1.77176,0.47486,0.35458,0.36648,0.15554,0.47853,0.29989,0.32018,0.10422,2.0073,3.26634,2.09522,2.12683,0.0010496,0.0010496,0.0010496
26,20575.5,1.74679,3.26828,1.95692,1.76039,0.47916,0.372,0.37476,0.16322,0.46789,0.33606,0.32737,0.11478,1.97916,3.2371,2.03707,2.08949,0.00101,0.00101,0.00101
27,21352.6,1.74164,3.25,1.93514,1.74801,0.42882,0.37255,0.346,0.14604,0.42575,0.32734,0.30837,0.10772,2.03286,3.3054,2.10343,2.12426,0.0009704,0.0009704,0.0009704
28,22133.3,1.71548,3.20117,1.89866,1.74511,0.4971,0.39107,0.38968,0.17439,0.48592,0.35294,0.35287,0.12683,1.9733,3.16635,1.98666,2.09008,0.0009308,0.0009308,0.0009308
29,22909.5,1.70829,3.18756,1.88513,1.73481,0.50532,0.375,0.38465,0.17175,0.47685,0.33333,0.3388,0.1193,1.96261,3.19039,1.99519,2.06108,0.0008912,0.0008912,0.0008912
30,23685,1.71461,3.15781,1.86249,1.71607,0.52531,0.41449,0.4277,0.19244,0.52525,0.36819,0.38257,0.13997,1.92814,3.1434,1.88468,2.02511,0.0008516,0.0008516,0.0008516
31,24460.8,1.69397,3.1701,1.85046,1.70929,0.52527,0.37846,0.39068,0.17272,0.47926,0.34532,0.34188,0.11845,1.96299,3.24179,2.01511,2.08094,0.000812,0.000812,0.000812
32,25237.9,1.68336,3.10057,1.81535,1.70863,0.51816,0.4085,0.41204,0.1851,0.48829,0.36225,0.35824,0.13304,1.92177,3.13089,1.94379,2.03342,0.0007724,0.0007724,0.0007724
33,26012.3,1.66624,3.10702,1.79231,1.69117,0.54548,0.39107,0.41124,0.18367,0.50826,0.36438,0.36894,0.13175,1.96631,3.14751,1.9261,2.09387,0.0007328,0.0007328,0.0007328
34,26791.3,1.64502,3.08681,1.78473,1.67509,0.55556,0.41721,0.44958,0.20875,0.53075,0.372,0.39303,0.14763,1.89629,3.07869,1.8613,2.02804,0.0006932,0.0006932,0.0006932
35,27580.8,1.64252,3.06811,1.72988,1.65809,0.46988,0.40795,0.37352,0.16578,0.44688,0.38399,0.34156,0.11706,1.96094,3.21822,2.00351,2.04486,0.0006536,0.0006536,0.0006536
36,28369.2,1.63862,3.05932,1.72723,1.65891,0.5547,0.42375,0.44305,0.20346,0.53258,0.40305,0.40854,0.14861,1.92621,3.11074,1.87724,2.03715,0.000614,0.000614,0.000614
37,29146.6,1.61466,3.05219,1.71246,1.6486,0.53091,0.43954,0.44588,0.21178,0.51729,0.40566,0.40635,0.15076,1.89905,3.07233,1.85797,2.00163,0.0005744,0.0005744,0.0005744
38,29923.8,1.59206,3.03283,1.66976,1.62985,0.58837,0.43028,0.46466,0.21847,0.56172,0.40904,0.4244,0.15956,1.88072,3.09482,1.80949,1.97358,0.0005348,0.0005348,0.0005348
39,30690.2,1.57262,2.9834,1.64496,1.61371,0.57363,0.42429,0.46007,0.22051,0.55214,0.39161,0.41519,0.15952,1.88009,3.06326,1.83118,2.0071,0.0004952,0.0004952,0.0004952
40,31454.5,1.57988,3.00807,1.64449,1.6141,0.54325,0.45697,0.46577,0.22375,0.52188,0.439,0.42459,0.16176,1.87397,3.05172,1.77634,1.9959,0.0004556,0.0004556,0.0004556
41,32198.6,1.52753,2.88201,1.52787,1.64303,0.57019,0.44989,0.46813,0.2284,0.54466,0.41939,0.43381,0.16887,1.84002,2.99359,1.77291,1.97627,0.000416,0.000416,0.000416
42,32939.2,1.48511,2.81255,1.45224,1.61717,0.59614,0.45479,0.49064,0.24427,0.59451,0.42266,0.45344,0.18039,1.81619,2.99222,1.74384,1.95895,0.0003764,0.0003764,0.0003764
43,33675.4,1.46832,2.79422,1.41128,1.61249,0.57691,0.4695,0.47911,0.2403,0.58499,0.43791,0.44687,0.17204,1.80521,2.96916,1.72181,1.9623,0.0003368,0.0003368,0.0003368
44,34411,1.45504,2.75072,1.38855,1.58989,0.58426,0.47688,0.50012,0.25541,0.61865,0.41939,0.46418,0.1784,1.79712,3.01624,1.6763,1.9374,0.0002972,0.0002972,0.0002972
45,35148.5,1.41835,2.722,1.35374,1.5687,0.63211,0.47113,0.51565,0.26464,0.60307,0.45266,0.47849,0.1902,1.78418,2.94591,1.64336,1.95934,0.0002576,0.0002576,0.0002576
46,35880.4,1.37783,2.65981,1.28708,1.53592,0.60546,0.4793,0.509,0.26237,0.57175,0.45261,0.46825,0.18398,1.76144,3.06312,1.6434,1.91431,0.000218,0.000218,0.000218
47,36613.7,1.38077,2.66923,1.29196,1.53715,0.61118,0.49228,0.5247,0.27264,0.5939,0.46078,0.48551,0.19534,1.76357,2.95439,1.62141,1.92915,0.0001784,0.0001784,0.0001784
48,37344.1,1.35849,2.63963,1.25391,1.52211,0.65138,0.47767,0.52795,0.27748,0.61098,0.46024,0.49243,0.20185,1.75449,2.93548,1.59838,1.93963,0.0001388,0.0001388,0.0001388
49,38072.2,1.34548,2.59138,1.23072,1.50226,0.60932,0.50799,0.53145,0.28021,0.60133,0.47495,0.50437,0.2035,1.73753,2.95894,1.59543,1.90049,9.92e-05,9.92e-05,9.92e-05
